MangaID,Genre,Author
68,"Comedy,Drama,Ecchi,Romance,Shounen,Gender Bender","Kubo, Mitsurou (Story & Art)"
69,"Romance,Shoujo","Miyawaki, Yukino (Story & Art)"
70,"Action,Adventure,Ecchi,Fantasy,Seinen","Shiono, Etorouji (Story & Art)"
71,"Comedy,Drama,Romance,School,Sci-Fi,Shoujo","Watase, Yuu (Story & Art)"
72,"Adventure,Comedy,Ecchi,Fantasy,Seinen","Akahori, Satoru (Story), Deguchi, Ryuusei (Art)"
73,"Action,Drama,Ecchi,Martial Arts,Romance,School,Supernatural,Seinen",Oh! Great (Story & Art)
74,"Action,Comedy,Drama,Ecchi,Romance,School,Sci-Fi,Shounen,Sports,Supernatural",Oh! Great (Story & Art)
75,"Comedy,Drama,Ecchi,Romance,Harem,Seinen","Fumizuki, Kou (Story & Art)"
76,"Comedy,Drama,Shoujo,Slice of Life","Ragawa, Marimo (Story & Art)"
77,"Comedy,Drama,Fantasy,Romance,School,Shoujo,Supernatural,Psychological","Watase, Yuu (Story & Art)"
78,"Fantasy,Shoujo,Supernatural","Shurei, Kouyu (Story & Art)"
79,"Action,Adventure,Drama,Fantasy,Historical,Romance,Shoujo,Supernatural","Shinohara, Chie (Story & Art)"
80,"Action,Comedy,Drama,Game,Sci-Fi,Shounen",CLAMP (Story & Art)
81,"Adventure,Comedy,Drama,Sci-Fi,Shounen,Slice of Life","Amano, Kozue (Story & Art)"
83,"Mystery,Drama,Fantasy,Romance,Sci-Fi,Shoujo,Harem,Supernatural","Watase, Yuu (Story & Art)"
84,"Action,Adventure,Drama,Fantasy,Historical,Romance,Shoujo,Harem,Gender Bender","Watase, Yuu (Story & Art)"
85,"Comedy,School,Slice of Life","Azuma, Kiyohiko (Story & Art)"
86,"Adventure,Fantasy,Romance,Shoujo","Tanemura, Arina (Story & Art)"
87,"Action,Fantasy,Shoujo","Kinoshita, Sakura (Story & Art), Higashiyama, Kazuko (Story & Art)"
88,"Fantasy,Shoujo Ai","Nanase, Aoi (Story & Art)"
89,"Comedy,Drama,Romance,School,Shoujo,Slice of Life","Fujii, Mihona (Story & Art)"
90,"Mystery,Fantasy,Shounen Ai,Josei","Kouga, Yun (Story & Art)"
91,"Comedy,Drama,Romance,Shoujo","Yoshizumi, Wataru (Story & Art)"
92,"Drama,Fantasy,Magic,Romance,Shoujo","Takeuchi, Naoko (Story & Art)"
93,"Adventure,Drama,Mecha,Sci-Fi,Seinen","Sugisaki, Yukiru (Story & Art)"
94,"Comedy,Fantasy,Romance,Shoujo,Supernatural","Sugisaki, Yukiru (Story & Art)"
95,"Action,Comedy,Shoujo,Supernatural","Sugisaki, Yukiru (Story & Art)"
96,"Action,Adventure,Fantasy,Sci-Fi,Supernatural","Sugisaki, Yukiru (Story & Art)"
97,"Comedy,Ecchi,Romance,Sci-Fi,Shounen",PEACH‐PIT (Story & Art)
98,"Comedy,Drama,Supernatural,Seinen",PEACH‐PIT (Story & Art)
99,"Action,Adventure,Comedy,Drama,Horror,Shounen,Supernatural",PEACH‐PIT (Story & Art)
100,"Comedy,Ecchi,School",PEACH‐PIT (Story & Art)
101,"Comedy,Magic,Romance,School,Shoujo",PEACH‐PIT (Story & Art)
102,"Comedy,Drama,Romance,School,Shoujo,Supernatural","Takaya, Natsuki (Story & Art)"
103,"Comedy,Romance,Shoujo,Slice of Life","Mutou, Hiromu (Story & Art)"
104,"Comedy,Slice of Life","Azuma, Kiyohiko (Story & Art)"
105,"Action,Adventure,Demons,Shounen,Supernatural","Tanabe, Yellow (Story & Art)"
106,"Adventure,Comedy,Fantasy,Magic,Romance,Shoujo",CLAMP (Story & Art)
107,"Comedy,Ecchi,Romance,Sci-Fi,Psychological,Seinen",CLAMP (Story & Art)
108,"Comedy,Mystery,Shoujo,Shounen Ai,Supernatural",CLAMP (Story & Art)
109,"Fantasy,Romance,Shoujo,Supernatural",CLAMP (Story & Art)
110,"Comedy,Ecchi,Romance,School,Sci-Fi,Shounen,Harem","Akamatsu, Ken (Story & Art)"
111,"Action,Comedy,Ecchi,Romance,Sci-Fi,Seinen","Ditama, Bow (Art), Nakayama, Bunjuro (Story)"
112,"Action,Adventure,Fantasy,Historical,Romance,Supernatural,Josei",CLAMP (Story & Art)
113,"Drama,Fantasy,Romance,Sci-Fi,Shoujo",CLAMP (Story & Art)
114,"Action,Adventure,Fantasy,Magic,Romance,Shounen","Azuma, Mayumi (Story & Art)"
115,"Action,Adventure,Fantasy,Magic,Romance,Shounen","Azuma, Mayumi (Story & Art)"
116,"Action,Fantasy,Game,Sci-Fi","Hamazaki, Tatsuya (Story), Morita, Yuzuka (Art)"
117,"Adventure,Comedy,Fantasy,Game,Sci-Fi","Hamazaki, Tatsuya (Story), Izumi, Rei (Art)"
118,"Adventure,Fantasy,Romance",CLAMP (Story & Art)
119,"Comedy,Fantasy,Magic,Mecha,Shoujo",CLAMP (Story & Art)
120,"Comedy,Drama,Magic,Romance,School,Harem","Tsukiji, Toshihiko (Story), Komatsu, E-ji (Art)"
121,"Adventure,Romance,Slice of Life","Park, Hee Jung (Story & Art)"
122,"Comedy,Sports","Yoon, Jae Ho (Story & Art)"
124,"Comedy,Drama,Sci-Fi,Shoujo,Slice of Life","Amano, Kozue (Story & Art)"
125,Fantasy,"Lee, So Young (Story & Art)"
126,"Action,Adventure,Fantasy,Romance","Park, Jin-Hwan (Story & Art)"
127,"Fantasy,Romance,School,Supernatural,Gender Bender","Park, Sang-Sun (Story & Art)"
128,"Comedy,Mystery,Fantasy,Horror,Supernatural,Josei","Akino, Matsuri (Story & Art)"
129,"Fantasy,Horror,Sci-Fi,Seinen","Yamaguchi, Masakazu (Story & Art)"
130,"Comedy,Mystery,Shoujo",CLAMP (Story & Art)
131,"Drama,Romance,Josei","Sakurazawa, Erica (Story & Art)"
132,"Action,Adventure,Drama,Mecha,Sci-Fi,Shounen,Military","Kurumada, Masami (Story & Art)"
133,"Drama,Fantasy,Shoujo,Shounen Ai,Supernatural",CLAMP (Story & Art)
134,"Action,Comedy,Fantasy,Shounen","Anzai, Nobuyuki (Story & Art)"
135,"Action,Adventure,Comedy,Fantasy,Shounen","Anzai, Nobuyuki (Story), Hoshino, Koichiro (Story & Art)"
136,"Action,Adventure,Comedy,Fantasy,Romance,Shounen","Anzai, Nobuyuki (Story & Art)"
137,"Action,Comedy,Mystery,Super Power,Seinen","Kurata, Hideyuki (Story), Yamada, Shutarou (Art)"
138,"Adventure,Fantasy","Mikimoto, Haruhiko (Art)"
139,"Fantasy,Shoujo,Supernatural","Hakase, Mizuki (Story & Art)"
140,"Comedy,Ecchi,Fantasy,Shounen","Omishi, Rei (Art), Akahori, Satoru (Story)"
141,"Action,Ecchi,Martial Arts","Shiozaki, Yuji (Story & Art)"
142,"Action,Drama,Horror,Psychological,Seinen","Taguchi, Masayuki (Art), Takami, Koushun (Story)"
143,"Drama,Psychological,Josei","Mihara, Mitsukazu (Story & Art)"
144,"Adventure,Comedy,Ecchi,Supernatural,Seinen",Shamneko (Story & Art)
145,"Comedy,Drama,Music,Romance,Shounen,Slice of Life","Sakuishi, Harold (Story & Art)"
147,"Adventure,Drama,Fantasy,Shounen","Watanabe, Yoshitomo (Story & Art)"
148,"Comedy,Romance,Shoujo","Park, Eun Ah (Story & Art)"
149,"Action,Drama,Horror,Sci-Fi,Psychological,Seinen","Nihei, Tsutomu (Story & Art)"
151,"Action,Fantasy,Horror,Vampire,Supernatural,Seinen","Shimizu, Aki (Art), Okuse, Saki (Story)"
152,"Comedy,Drama,Romance,School,Shounen","Tamakoshi, Hiroyuki (Art), Itabashi, Masahiro (Story)"
153,"Comedy,Drama,Romance,Shounen","Tamakoshi, Hiroyuki (Art), Itabashi, Masahiro (Story)"
155,"Adventure,Drama,Mecha,Sci-Fi,Shounen","Sugisaki, Yukiru (Story & Art), Tomino, Yoshiyuki (Story)"
156,"Comedy,Drama,Romance,Shoujo,Vampire,Supernatural","Hatori, Bisco (Story & Art)"
157,"Comedy,Drama,Romance,Shoujo","Watase, Yuu (Story & Art)"
158,"Mystery,Drama,Horror,Romance,Shoujo,Supernatural,Psychological","Inada, Shiho (Story & Art), Ono, Fuyumi (Story)"
159,"Action,Fantasy,Seinen","Ono, Youichirou (Art), Miyabe, Miyuki (Story)"
160,"Comedy,Romance,School,Shounen","Kobayashi, Jin (Story & Art)"
161,"Action,Comedy,Sci-Fi,Shounen","Watase, Nozomi (Story & Art)"
162,"Action,Mystery,Drama,Shoujo","Minekura, Kazuya (Story & Art)"
163,"Drama,Shoujo","Tsuzuki, Setsuri (Art), Otsuichi (Story)"
164,"Comedy,Romance,School,Shoujo","Fukuyama, Ryoco (Story & Art)"
165,"Comedy,Romance,School,Shoujo","Fukushima, Haruka (Story & Art)"
166,"Action,Adventure,Comedy,Mystery,Shoujo,Supernatural","Saenagi, Ryou (Story & Art)"
167,"Action,Adventure,Drama,Fantasy,Martial Arts,Shounen","Yeo, Beop-Ryong (Story), Park, Hui-Jin (Art)"
168,"Action,Adventure,Fantasy,Sci-Fi","Choi, Il-ho (Art), Shin, Eui-Chul (Story)"
169,"Comedy,Harem,Seinen","Inui, Sekihiko (Art), Aquaplus (Story)"
170,"Drama,Romance,School,Shoujo,Psychological","Momochi, Reiko (Story & Art)"
171,"Drama,Shoujo","Momochi, Reiko (Story & Art)"
172,"Comedy,Fantasy,Game,Magic,Sci-Fi","Okamoto, Keiko (Story & Art), Asamiya, Kia (Story)"
173,"Action,Adventure,Comedy,Sci-Fi,Shoujo","Watanabe, Shinichiro (Story), Nanten, Yutaka (Art), Yatate, Hajime (Story)"
174,"Action,Adventure,Comedy,Sci-Fi,Shoujo","Kuga, Cain (Story & Art)"
175,"Comedy,Fantasy","ZUN (Story), Matsukura, Nemu (Art)"
176,"Comedy,Ecchi,Romance,Slice of Life,Seinen","Zappa, Gou (Story), Takeuchi, Sakura (Art)"
177,"Comedy,Drama,Ecchi,Romance,Shounen,Supernatural","Zappa, Gou (Story), Fujima, Takuya (Art)"
178,"Drama,Romance,Yaoi","Tsuda, Mikiyo (Story & Art)"
179,"Romance,School,Shounen Ai,Yaoi","Tsuda, Mikiyo (Story), Eiki, Eiki (Story & Art)"
181,"Horror,Josei","Mikamoto, Rei (Story & Art)"
182,"Action,Horror","Hirai, Kazumasa (Story), Yang, Kyung-il (Art)"
183,"Comedy,Romance,Shoujo","Watase, Yuu (Story & Art)"
184,"Comedy,Drama,Romance,Shoujo","Watase, Yuu (Story & Art)"
185,Shoujo,"Watase, Yuu (Story & Art)"
186,"Fantasy,Romance,Josei","Ohmi, Tomu (Story & Art)"
187,"Drama,Fantasy,Romance,Josei","Ohmi, Tomu (Story & Art)"
188,"Drama,Fantasy,Romance,Josei","Ohmi, Tomu (Story & Art)"
190,"Action,Mystery,Fantasy,Romance,Shoujo,Supernatural","Ando, Natsumi (Story & Art)"
192,"Drama,Yaoi","Kasama, Rumi (Story & Art)"
193,"Comedy,Drama,Romance,School,Shoujo,Gender Bender","Nakaji, Yuki (Story & Art)"
194,"Action,Shounen,Supernatural","Kudo, Kazuya (Story), Ikegami, Ryoichi (Art)"
195,"Drama,Shoujo,Sports","Yasunaga, Kei (Story & Art)"
197,Yaoi,"Fuwa, Shinri (Story & Art)"
198,Yaoi,"Fuwa, Shinri (Story & Art)"
199,"Horror,Romance,Shounen,Supernatural","Takahashi, Rumiko (Story & Art)"
200,"Drama,Yaoi","Fuwa, Shinri (Story & Art)"
201,"Action,Comedy,Drama,Mecha,Sci-Fi,Shounen","Yuuki, Masami (Story & Art)"
202,"Fantasy,Shounen Ai","Tateno, Makoto (Story & Art)"
203,"Drama,Romance,Yaoi","Natsumizu, Ritsu (Story & Art)"
204,Yaoi,"Konno, Keiko (Story & Art)"
205,Yaoi,"Fujiyama, Hyouta (Story & Art)"
206,"Mecha,Sci-Fi,Military","Kondo, Kazuhisa (Story & Art)"
207,Yaoi,"Kuwabara, Yuko (Story & Art)"
208,Shounen Ai,"Takahashi, Mako (Story & Art)"
209,"Comedy,Shoujo,Slice of Life","Yoshinaga, Fumi (Story & Art)"
211,"Drama,Romance,Yaoi","Kawai, Touko (Story & Art)"
212,"Shounen Ai,Yaoi","Maeda, Tomo (Story & Art)"
213,"Fantasy,School,Shounen Ai","Suzuki, Serubo (Story), Honami, Yukine (Art)"
214,"Action,Drama,Mecha,Sci-Fi,Shounen,Space,Military","Yasuhiko, Yoshikazu (Story & Art), Tomino, Yoshiyuki (Story)"
216,"Action,Drama,Mecha,Sci-Fi,Seinen","Momose, Takeaki (Art), Izubuchi, Yutaka (Story)"
217,Yaoi,"Hoshino, Lily (Story & Art)"
218,"Shounen Ai,Yaoi","Koujima, Nazuki (Story & Art)"
219,"Adventure,Sci-Fi,Shounen,Supernatural","Kawashima, Tadashi (Story), Adachitoka (Art)"
220,"Adventure,Fantasy,School,Shounen","Midorikawa, Shin (Story & Art)"
221,"Action,Drama,Historical,Martial Arts,Romance,Seinen","Yamada, Fuutarou (Story), Segawa, Masaki (Art)"
222,"Action,Mystery,Historical,Supernatural,Seinen,Gender Bender","Ubukata, Tow (Story), Yumeji, Kiriko (Art)"
223,"Comedy,Shoujo,Shounen Ai,Supernatural","Negishi, Kyoko (Story & Art)"
224,"Comedy,Shounen Ai,Slice of Life","Matsumoto, Kazura (Story & Art)"
225,"Comedy,Drama,Yaoi","Yamada, Yugi (Story & Art)"
227,"Comedy,Yaoi","Yamada, Yugi (Story & Art)"
228,"Action,Drama,Sci-Fi,Supernatural","Asamiya, Kia (Story & Art)"
229,"Action,Drama,Horror,Psychological,Seinen","Mochizuki, Minetaro (Story & Art)"
230,"Romance,Shounen Ai","Yumeka, Sumomo (Story & Art)"
233,"Comedy,Romance,Yaoi",Homerun Ken (Story & Art)
234,"Comedy,Drama,Romance,Yaoi","Yamada, Yugi (Story & Art)"
235,Yaoi,"Yamada, Yugi (Story & Art)"
236,Yaoi,"Tsuge, Amayo (Story & Art)"
237,"Romance,Shounen Ai","Tsuda, Mikiyo (Art), Eiki, Eiki (Story & Art)"
238,Shounen Ai,"Tsuda, Mikiyo (Story & Art), Eiki, Eiki (Story)"
239,"School,Yaoi","Honami, Yukine (Art), Kazumi, Maki (Story)"
240,"Sci-Fi,Yaoi,Slice of Life","Yoshinaga, Fumi (Story & Art)"
241,Shounen Ai,"Yumeka, Sumomo (Story & Art)"
242,Yaoi,"Kujou, Aoi (Story & Art)"
243,"Adventure,Mystery,Mecha,Shounen,Police","Asamiya, Kia (Story & Art)"
244,"Action,Adventure,Ecchi,Fantasy,Romance,School,Shounen,Super Power","Kawachi, Izumi (Story & Art)"
245,"Shounen Ai,Yaoi","Yamagata, Satomi (Story & Art)"
246,"Comedy,School,Shoujo,Shounen Ai,Gender Bender","Tsuda, Mikiyo (Story & Art)"
247,"Comedy,School,Shoujo,Shounen Ai,Gender Bender","Tsuda, Mikiyo (Story & Art)"
248,"Comedy,Shoujo,Slice of Life","Tsuda, Mikiyo (Story & Art)"
249,"Comedy,Drama,Romance,School,Shoujo,Gender Bender","Tsuda, Mikiyo (Story & Art)"
250,"Comedy,School,Shoujo,Slice of Life","Yoshinaga, Fumi (Story & Art)"
251,"Drama,Romance,Shounen Ai,Yaoi,Psychological","Miyagi, Tooko (Story & Art)"
252,"Adventure,Mystery,Drama,Historical","Higuri, You (Story & Art)"
253,Action,"Okuda, Hitoshi (Story & Art)"
254,"Romance,Yaoi","Hoshino, Lily (Story & Art)"
255,Yaoi,"Tateno, Makoto (Story & Art)"
256,"Drama,Romance,Yaoi","Itsuki, Kaname (Story & Art)"
257,"Drama,Historical,Romance,Shounen Ai","Nakamura, Shungiku (Story & Art)"
259,Yaoi,"Takamure, Tamotsu (Art), Maeda, Sakae (Story)"
260,"Drama,Yaoi","Tateno, Makoto (Story & Art)"
261,"Shounen Ai,Yaoi","Yamagata, Satomi (Story & Art)"
262,"Drama,Historical,Romance,Shoujo","Yoshinaga, Fumi (Story & Art)"
263,"Drama,Romance,Yaoi","Kawai, Touko (Story & Art)"
264,"Comedy,School,Yaoi","Honami, Yukine (Art), Takaguchi, Satosumi (Story)"
265,Yaoi,"Honjou, Rie (Story & Art)"
267,"Action,Historical,Horror,Vampire,Supernatural,Seinen","Hirano, Kouta (Story & Art)"
268,"Drama,Romance,Psychological","Lee, Vin (Story & Art)"
269,"Comedy,Fantasy,Romance,Shoujo","Iida, Haruko (Story & Art)"
270,"Action,Adventure,Fantasy,Seinen","Kaneko, Shinya (Story & Art)"
271,"Fantasy,Romance,Shoujo","Tachikawa, Megumi (Story & Art)"
272,"Action,Sci-Fi,Seinen","Fujima, Takuya (Story & Art)"
273,"Drama,Fantasy,Historical,Romance,Sci-Fi","Yoon, In-Wan (Story), Yoon, Seung-Ki (Art), Yang, Kyung-il (Art), Lee, Vin (Art), Park, Sung-Woo (Art), Kim, Tae-Hyung (Art), Byung Jun, Byun (Art)"
274,"Action,Adventure,Comedy,Sci-Fi","Shiki, Satoshi (Story & Art)"
275,Shounen Ai,"Hasumi, Toui (Story & Art)"
276,"Action,Drama,Horror,Psychological,Seinen","Manabe, Shohei (Story & Art)"
277,"Action,Adventure,Comedy,Drama,Fantasy,Shoujo,Shounen Ai","Kara (Art), Lee, Ji Hyong (Story), Lee, Soome (Story), Lee, Yun-hee (Story)"
278,"Action,Adventure,Fantasy,Martial Arts,Supernatural","Kim, Jae-Hwan (Art), Ra, In-Soo (Story)"
279,Yaoi,"Takaku, Shouko (Art), Sasaki, Teiko (Story)"
280,Shounen Ai,"Shino, Natsuho (Story & Art)"
281,"Drama,School,Shoujo,Shounen Ai","Kawai, Chigusa (Story & Art)"
282,Yaoi,"Yamada, Sakurako (Story & Art)"
283,Action,"Yatate, Hajime (Story), Ariga, Hitoshi (Art)"
284,"Drama,School,Yaoi","Takanaga, Hinako (Story & Art)"
285,"Comedy,Yaoi","Higashizato, Kirico (Story & Art)"
286,Yaoi,"Hidaka, Shoko (Story & Art)"
287,"Action,Adventure","Chayamachi, Suguro (Story & Art)"
288,Yaoi,"Hasumi, Toui (Story & Art)"
289,"Comedy,Fantasy,Shoujo,Supernatural","Rhim, Ju-Yeon (Story)"
290,Yaoi,"Takaku, Shouko (Art), Gotou, Shinobu (Story)"
292,Yaoi,"Takaido, Akemi (Story & Art)"
293,Yaoi,"Fujiyama, Hyouta (Story & Art)"
294,"Romance,Shounen Ai","Tenzen, Momoko (Story & Art)"
295,"Fantasy,Shoujo Ai","Nanase, Aoi (Story & Art)"
296,"Mystery,Horror,Psychological","Kotegawa, Yua (Story & Art)"
297,"Horror,Shoujo,Supernatural","Kusunoki, Kei (Art), Oohashi, Kaoru (Story)"
298,"Drama,Sci-Fi,Psychological,Josei","Mihara, Mitsukazu (Story & Art)"
299,"Drama,Historical,Military","Kobayashi, Motofumi (Story & Art)"
300,"Shoujo,Supernatural,Psychological","Katsumoto, Kasane (Story & Art)"
301,"Action,Adventure,Fantasy,Shounen","Seo, Hong Seok (Story & Art)"
302,"Comedy,Romance,Shounen,Supernatural","Matsuura, Tokihiko (Story & Art)"
303,"Action,Adventure,Comedy,Drama,Fantasy,Shoujo","Oukami, Mineko (Story & Art)"
304,"Comedy,Romance,Sci-Fi,Shounen","Takahashi, Rumiko (Story & Art)"
305,"Music,Shounen","Nishiyama, Yuriko (Story & Art)"
306,"Adventure,Comedy,Fantasy,Shoujo","Tachikawa, Megumi (Story & Art)"
307,"Action,Comedy,Shounen,Supernatural",CLAMP (Story & Art)
308,"Drama,Romance,Shoujo","Suetsugu, Yuki (Story & Art)"
309,"Comedy,Romance,Shoujo,Shounen Ai,Supernatural","Shuri, Shiozu (Story & Art)"
311,"Action,Comedy,Drama","Park, Jin-Ryong (Story), Shin, Yong-Gwan (Art)"
312,"Action,Ecchi,Horror,Supernatural","Hwan, Shin (Art), Lee, Jong-Kyu (Story)"
314,"Action,Comedy,Yaoi","Matoh, Sanami (Story & Art)"
315,"Drama,School,Shoujo","Park, Hee Jung (Story)"
316,"Drama,Romance,Shoujo","Ashihara, Hinako (Story & Art)"
317,"Comedy,Romance,Shoujo","Omote, Sora (Story & Art)"
318,"Comedy,Ecchi,Romance,Slice of Life,Seinen","Katsu, Aki (Story & Art)"
319,"Romance,Shoujo","Tachibana, Yutaka (Story & Art)"
320,"Comedy,Drama,School,Shoujo,Super Power","Higuchi, Tachibana (Story & Art)"
321,"Adventure,Comedy,Drama,Mecha,School,Super Power","Gotou, Keiji (Art), Yamaguchi, Hiroshi (Story), Gonzo (Art)"
322,"Mystery,Fantasy,Horror,Shoujo,Supernatural,Psychological","Akino, Matsuri (Story & Art)"
323,Drama,"Kawakami, Junko (Story & Art)"
324,"Demons,Fantasy,Magic,Romance,School,Shoujo","Kim, Yeon-Joo (Story & Art)"
325,"Comedy,Ecchi,Fantasy,Shounen,Harem","Kaneda, Mario (Story & Art)"
326,"Action,Comedy,Magic,Shounen,Super Power","Fukuchi, Tsubasa (Story & Art)"
327,"Action,Adventure,Comedy,Shounen","Fukuchi, Tsubasa (Story & Art)"
328,"Action,Adventure,Comedy,Ecchi,Shounen","Kaise, Sosuke (Story & Art)"
329,"Comedy,Fantasy,Romance,Shoujo","Tooyama, Ema (Story & Art)"
330,"Comedy,Drama,Shoujo","Kang, E-Jin (Story & Art)"
